,level_0,index,Unnamed: 0,latitude,longitude
84,84,150,150,9.145865 ,-79.617169
85,85,152,152,40.454179 ,-3.700284
86,86,156,156,12.4989 ,124.6377
87,87,157,157,54.155568 ,38.1775
88,88,160,160,40 ,-4
89,89,161,161,46.946512 ,7.434997
90,90,162,162,-7.437889 ,-70.028143
91,91,167,167,40.393715 ,-3.676087
92,92,172,172,38.683303 ,-9.342408
93,93,173,173,40 ,-4
94,94,174,174,40.483359 ,-3.667923
95,95,175,175,59.927468 ,40.396485
96,96,177,177,-15.244396 ,-40.24283
97,97,180,180,25.334561 ,55.392918
98,98,181,181,48.06572 ,11.614658
99,99,183,183,34.94957 ,-81.93205
100,100,186,186,8.5 ,-11.5
101,101,187,187,39.594915 ,2.673811
102,102,189,189,40.91534 ,-81.10593
103,103,190,190,-15.763386 ,-47.88108
104,104,194,194,40 ,-4
105,105,197,197,41.94514 ,25.07868
106,106,199,199,-26.828806 ,-65.208318
107,107,202,202,54.326624 ,10.105359
108,108,203,203,52.507568 ,13.391332
109,109,204,204,12.832143 ,80.223782
110,110,206,206,48.555132 ,12.743875
111,111,207,207,45.339841 ,-75.910723
112,112,208,208,29.961078 ,-81.340501
113,113,209,209,30.04479 ,-98.039313
114,114,211,211,52.498252 ,-2.002874
115,115,212,212,38.46806 ,106.27306
116,116,213,213,15.760691 ,43.686232
117,117,214,214,25.029422 ,-77.361956
118,118,215,215,43.569326 ,1.38676
119,119,216,216,33.588178 ,-100.217897
120,120,217,217,40.393715 ,-3.676087
121,121,218,218,40.416024 ,-3.696213
122,122,221,221,29.88628 ,-95.494941
123,123,222,222,40 ,-4
124,124,228,228,41.412355 ,2.197328
125,125,229,229,37.540601 ,-5.079589
126,126,230,230,12.4989 ,124.6377
127,127,235,235,25.029422 ,-77.361956
128,128,237,237,41.406739 ,2.132058
129,129,240,240,33.703837 ,72.978521
130,130,241,241,41.395942 ,2.149939
131,131,242,242,54.247107 ,-3.253915
132,132,243,243,39.78373 ,-100.445882
133,133,244,244,14.18455 ,12.003467
134,134,245,245,41.311421 ,19.446037
135,135,246,246,41.82046 ,1.86768
136,136,248,248,43.451896 ,-3.871985
137,137,250,250,18.833333 ,-98
138,138,251,251,43.599429 ,-116.21314
139,139,256,256,38.09032 ,-92.29267
140,140,257,257,40.445524 ,-3.656695
141,141,259,259,41.396587 ,2.15164
142,142,264,264,41.394306 ,2.152455
143,143,267,267,-36.846418 ,174.761639
144,144,269,269,-13.716985 ,-76.205805
145,145,270,270,52.171533 ,20.973048
146,146,273,273,45.154542 ,-64.398833
147,147,274,274,39.029027 ,-96.829684
148,148,276,276,51.450806 ,-1.047016
149,149,278,278,42.83333 ,12.83333
150,150,280,280,40 ,-4
151,151,284,284,28.486359 ,-16.317929
152,152,286,286,49.95972 ,11.91072
153,153,287,287,41.400178 ,2.191572
154,154,288,288,40.483359 ,-3.667923
155,155,289,289,33.374755 ,130.194511
156,156,293,293,-12.162391 ,-76.997239
157,157,295,295,40.927641 ,-8.572243
158,158,296,296,40 ,-4
159,159,297,297,40 ,-4
160,160,300,300,41.397742 ,2.200686
161,161,303,303,-15.244396 ,-40.24283
162,162,305,305,40 ,-4
163,163,308,308,41.396109 ,2.15224
164,164,309,309,34.51147 ,-110.079608
165,165,311,311,25.029422 ,-77.361956
166,166,313,313,45.786731 ,4.813551
167,167,314,314,40 ,-4
168,168,315,315,-37.7 ,145.18333
169,169,317,317,32 ,-6
170,170,318,318,5.26176 ,-0.75897
171,171,324,324,51.478049 ,-0.607207
172,172,326,326,-37.786167 ,144.8908
173,173,328,328,44.396444 ,-71.4396
174,174,331,331,41.382788 ,2.142822
175,175,336,336,40 ,-4
176,176,337,337,31.205963 ,16.583621
177,177,338,338,50.881401 ,4.28982
178,178,344,344,-20.463137 ,-41.414873
179,179,348,348,37.598532 ,-93.431586
180,180,349,349,41.395983 ,2.196867
181,181,351,351,-9.42547 ,147.111654
182,182,353,353,38.09032 ,-92.29267
183,183,354,354,31.31517 ,-85.85522
184,184,356,356,40.883642 ,0.804529
185,185,362,362,45.14914 ,11.82057
186,186,365,365,6.996299 ,-9.471709
187,187,371,371,48.849147 ,2.352669
188,188,373,373,8.5 ,-11.5
189,189,375,375,36.983414 ,-122.056168
190,190,376,376,47.269234 ,11.182966
191,191,378,378,50.857585 ,5.809624
192,192,380,380,49.711287 ,-54.059949
193,193,381,381,46.946512 ,7.434997
194,194,383,383,41.36169 ,-83.62299
195,195,384,384,25 ,45
196,196,385,385,38.46806 ,106.27306
197,197,388,388,4.25 ,-74.18333
198,198,394,394,41.689785 ,-73.022303
199,199,395,395,43.570125 ,17.874871
200,200,397,397,36.223189 ,43.992625
201,201,399,399,53.566578 ,9.965491
202,202,401,401,48.315259 ,14.305121
203,203,403,403,38.46806 ,106.27306
204,204,405,405,8.616696 ,-13.198092
205,205,407,407,49.170979 ,-66.334046
206,206,408,408,9.598 ,138.1665
207,207,410,410,44.632531 ,-93.371892
208,208,411,411,19.426399 ,-99.170338
209,209,412,412,50.451827 ,30.525852
210,210,416,416,-26.891587 ,-49.085871
211,211,418,418,41.135892 ,0.651719
212,212,419,419,42.392616 ,-71.259491
213,213,421,421,40.107509 ,-89.376854
214,214,423,423,47.451068 ,8.565125
215,215,425,425,51.465532 ,-0.213083
216,216,430,430,50.969546 ,-0.883874
217,217,433,433,-34.623945 ,-58.427
218,218,434,434,42.242865 ,-83.744346
219,219,436,436,55.857808 ,48.819654
220,220,438,438,49.51281 ,5.935415
221,221,439,439,48.829077 ,2.237703
222,222,440,440,52.504678 ,13.449021
223,223,441,441,-11.924823 ,-77.083473
224,224,443,443,38.750319 ,-91.966016
225,225,445,445,47.390891 ,8.055779
226,226,448,448,50.985836 ,-0.273958
227,227,450,450,40.62976 ,-91.31515
228,228,451,451,37.230614 ,-94.831904
229,229,452,452,48.841691 ,2.242722
230,230,455,455,47.796439 ,9.624863
231,231,458,458,48.034551 ,11.587031
232,232,460,460,48.864212 ,2.360936
233,233,464,464,26.493888 ,127.865372
234,234,465,465,47.23333 ,22.65
235,235,469,469,52.25 ,5.75
236,236,471,471,38.46806 ,106.27306
237,237,474,474,40 ,-4
238,238,476,476,36.704301 ,-80.574791
239,239,479,479,49.459294 ,9.889831
240,240,480,480,50.459621 ,3.929831
241,241,481,481,6.89359 ,80.596756
242,242,482,482,47.107771 ,-101.352449
243,243,484,484,46.263781 ,8.696755
244,244,488,488,-23.26536 ,-45.892858
245,245,494,494,-3.20333 ,-52.20639
246,246,497,497,23.504868 ,72.41884
247,247,498,498,47.449561 ,8.56496
